2, 0.0007, 1
4, 0.0009, 4
8, 0.0008, 9
16, 0.0016, 25
32, 0.0033, 60
64, 0.0067, 130
128, 0.0192, 281
256, 0.0601, 568
512, 0.185, 1119
1024, 0.6361, 2297
2048, 1.924, 4612
4096, 5.4326, 9387
8192, 19.7142, 18440
16384, 77.1723, 37451
32768, 307.974, 73013
65536, 1231.78, 154733
131072, 4928.78, 307069
