2, 0.0014, 1
4, 0.0009, 6
8, 0.0022, 18
16, 0.0034, 43
32, 0.0072, 111
64, 0.0139, 274
128, 0.03, 586
256, 0.0631, 1434
512, 0.1357, 3248
1024, 0.2626, 7461
2048, 0.5046, 15239
4096, 0.936, 34723
8192, 1.5196, 73929
16384, 2.5672, 159975
32768, 5.1256, 338464
65536, 10.7135, 737339
131072, 22.583, 1549040
